judul,tanggal,topik,sumber,tipe,ringkasan,url,waktu_scrape
"detikJatimJumat, 18 Sep 2026 20:30 WIB Safari Jumat di Ponpes, Kapolres Gresik Ingatkan Bahaya Narkoba-Radikalisme Kapolres Gresik, AKBP Ramadhan, gelar Safari Jumat di Ponpes Darul Ikhsan, menyampaikan pesan Kamtibmas & pentingnya bijak menggunakan teknologi kepada santri.",18 Sep 2026,Lingkungan,Detik - Gresik,nasional,"Kapolres Gresik, AKBP Ramadhan, gelar Safari Jumat di Ponpes Darul Ikhsan, menyampaikan pesan Kamtibmas & pentingnya bijak menggunakan teknologi kepada santri.",https://www.detik.com/jatim/jogo-jatim/d-8669179/safari-jumat-di-ponpes-kapolres-gresik-ingatkan-bahaya-narkoba-radikalisme,2026-09-20 12:54
"detikJatimJumat, 18 Sep 2026 16:15 WIB Kisah Hasim, Eks Driver Ojol Korban Laka di Gresik Dapat Modal Buka Toko Hasim, eks driver ojol mengalami kecelakaan yang mengubah hidupnya. Kapolres Gresik memberikan bantuan kursi roda dan modal usaha demi mendukungnya bangkit.",18 Sep 2026,Ekonomi & UMKM,Detik - Gresik,nasional,"Hasim, eks driver ojol mengalami kecelakaan yang mengubah hidupnya. Kapolres Gresik memberikan bantuan kursi roda dan modal usaha demi mendukungnya bangkit.",https://www.detik.com/jatim/berita/d-8668763/kisah-hasim-eks-driver-ojol-korban-laka-di-gresik-dapat-modal-buka-toko,2026-09-20 12:54
"detikJatimJumat, 18 Sep 2026 15:15 WIB KSP Ungkap Jargas di Gresik Sudah 95,4%, Gus Yani: Tinggal Operasi Saja KSP Dudung Abdurahman cek progres jargas di Gresik, capai 95,4%. Program ini membantu masyarakat hemat biaya energi dan mendukung UMKM.",18 Sep 2026,Ekonomi & UMKM,Detik - Gresik,nasional,"KSP Dudung Abdurahman cek progres jargas di Gresik, capai 95,4%. Program ini membantu masyarakat hemat biaya energi dan mendukung UMKM.",https://www.detik.com/jatim/bisnis/d-8668658/ksp-ungkap-jargas-di-gresik-sudah-95-4-gus-yani-tinggal-operasi-saja,2026-09-20 12:54
"detikJatimJumat, 18 Sep 2026 11:15 WIB Bupati Gresik Dampingi KSP Cek Jargas APBN: Manfaatnya Langsung Dirasakan Kepala Staf Kepresidenan Dudung Abdurahman cek kesiapan jaringan gas bumi di Gresik. Program ini diharapkan menguntungkan masyarakat dan UMKM setempat.",18 Sep 2026,Ekonomi & UMKM,Detik - Gresik,nasional,Kepala Staf Kepresidenan Dudung Abdurahman cek kesiapan jaringan gas bumi di Gresik. Program ini diharapkan menguntungkan masyarakat dan UMKM setempat.,https://www.detik.com/jatim/bisnis/d-8668189/bupati-gresik-dampingi-ksp-cek-jargas-apbn-manfaatnya-langsung-dirasakan,2026-09-20 12:54
"detikJatimKamis, 17 Sep 2026 23:45 WIB 19 Paket Sabu Jaringan Madura Gagal Beredar di Gresik Berkat Lapor Cak Rama Sat Resnarkoba Polres Gresik gagalkan peredaran 19 paket sabu, menangkap tiga tersangka. Penangkapan berawal dari laporan masyarakat.",17 Sep 2026,Keamanan & Hukum,Detik - Gresik,nasional,"Sat Resnarkoba Polres Gresik gagalkan peredaran 19 paket sabu, menangkap tiga tersangka. Penangkapan berawal dari laporan masyarakat.",https://www.detik.com/jatim/hukum-dan-kriminal/d-8667696/19-paket-sabu-jaringan-madura-gagal-beredar-di-gresik-berkat-lapor-cak-rama,2026-09-20 12:54
"detikJatimKamis, 17 Sep 2026 21:13 WIB Jadi Perantara, Staf Dinas PMD Gresik Jalani Sidang Perdana CPNS Bodong Agus Priyono, staf PMD Gresik, menjalani sidang dugaan penipuan rekrutmen CPNS dan PPPK. Belasan korban rugi hingga Rp 1,5 miliar. Agus ajukan eksepsi.",17 Sep 2026,Infrastruktur,Detik - Gresik,nasional,"Agus Priyono, staf PMD Gresik, menjalani sidang dugaan penipuan rekrutmen CPNS dan PPPK. Belasan korban rugi hingga Rp 1,5 miliar. Agus ajukan eksepsi.",https://www.detik.com/jatim/hukum-dan-kriminal/d-8667661/jadi-perantara-staf-dinas-pmd-gresik-jalani-sidang-perdana-cpns-bodong,2026-09-20 12:54
"Bikin Penasaran, Pohon Kurma di Perempatan Kebomas Gresik Kini Berbuah",-,Umum,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8656561/bikin-penasaran-pohon-kurma-di-perempatan-kebomas-gresik-kini-berbuah,2026-09-20 12:54
Damkar Berjibaku Padamkan Kebakaran di PT Wings Surya Gresik,-,Umum,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8648861/damkar-berjibaku-padamkan-kebakaran-di-pt-wings-surya-gresik,2026-09-20 12:54
Melihat Kemeriahan Gresik Merdeka Karnival,-,Umum,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8639894/melihat-kemeriahan-gresik-merdeka-karnival,2026-09-20 12:54
"Potret Semarak Gresik Merdeka Karnival, Diserbu Ribuan Warga",-,Umum,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8639857/potret-semarak-gresik-merdeka-karnival-diserbu-ribuan-warga,2026-09-20 12:54
