nama_toko,url_toko,rating_toko,nama_produk,harga,rating_produk,terjual,lokasi_seller,kategori,badge,url_produk,platform,waktu_scrape
Teknik Baru Elektrik LZ,https://www.lazada.co.id/shop/teknik-baru-elektrik-lz/?itemId=1013892781&channelSource=pdp,-,"ADAPTOR MURNI12V AC TO DC - 1A 2A 3A 5A ADAPTER CCTV LED STRIP DVR ROUTER MODEM POMPA 5.5MM ADAPTER
Rp
18.865
Rp
45.000
-58%",-,4.7,-,Kab. Gresik,Elektronik,-,https://www.lazada.co.id/products/pdp-i1013892781-s3541222521.html,Lazada,2026-09-21 10:14
Marshal Store,https://www.lazada.co.id/shop/marshal-store/?itemId=1158836403&channelSource=pdp,-,"T-Shirt Distro Racing Team 93 Chicago T-Shirt
Rp
56.075
Rp
120.000
-53%",-,4.7,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i1158836403-s14759366418.html,Lazada,2026-09-21 10:14
Adni_collection,https://www.lazada.co.id/shop/adnicollection/?itemId=1523040436&channelSource=pdp,-,"HEADSET ORIGINAL PM02 DIJAMIN EXTRA BASS BISA DIGUNAKAN SEPERTI OPPO / VIVO / REALME / XIAOMI REDMI
Rp
9.027
Rp
35.000
-74%",-,4.7,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i1523040436-s11974564134.html,Lazada,2026-09-21 10:14
Braxley Store,https://www.lazada.co.id/shop/braxley-store/?itemId=1692008967&channelSource=pdp,-,"Kiprok Original Vario 110 Karbu / Beat Karbu / Scoopy Karbu / Spacy Karbu / Vario 110 CW KVB KD79
Rp
42.500
Rp
42.500",-,4.8,-,Kab. Gresik,Fashion Wanita,-,https://www.lazada.co.id/products/pdp-i1692008967-s3283650765.html,Lazada,2026-09-21 10:14
Braxley Store,https://www.lazada.co.id/shop/braxley-store/?itemId=1692014927&channelSource=pdp,-,"Kampas Ganda Original Beat FI Stater Kasar / Scoopy FI Kasar / Vario 110 FI Kasar KZL Thailand KD65
Rp
112.500
Rp
112.500",-,4.8,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i1692014927-s3283696399.html,Lazada,2026-09-21 10:14
ISTANA PARFUME 1594686472,https://www.lazada.co.id/shop/istana-parfume-1594686472/?itemId=1742120389&channelSource=pdp,-,"Jlo Still Aroma Perfume, Women's Perfume Refill Oil, Long-Lasting Fragrance, Various Kinds of Cheap Promo Aromas
Rp
19.800
Rp
75.000
-74%",-,5,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i1742120389-s3390274765.html,Lazada,2026-09-21 10:14
Toshiba,https://www.lazada.co.id/shop/toshiba/?itemId=5838580404&channelSource=pdp,-,"[FREE ONGKIR JABODETABEK] Toshiba TV 32"" HD Digital TV - Dolby Audio Regza Game Mode HDMI USB - 32S25KP
Rp3.029.000",-,4.9,-,Kab. Gresik,Elektronik,-,https://www.lazada.co.id/products/pdp-i5838580404-s13495562955.html,Lazada,2026-09-21 10:14
Pesona Naturals,https://www.lazada.co.id/shop/pesona-naturals/?itemId=8165830574&channelSource=pdp,-,"MY BABY MINYAK TELON PLUS 150ml, 90ml, 60ml AROMA EUCALYPTUS & LAVENDER
Rp13.900 -72%",-,4.9,-,Kab. Gresik,Ibu & Bayi,-,https://www.lazada.co.id/products/pdp-i8165830574-s14568350379.html,Lazada,2026-09-21 10:14
Watsons,https://www.lazada.co.id/shop/watsons/?itemId=8646346526&channelSource=pdp,-,"So Fresh Minyak Angin Aromatherapy Hot 10ml Bundle
Rp13.500",-,4.9,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i8646346526-s16069522115.html,Lazada,2026-09-21 10:14
Makarizo,https://www.lazada.co.id/shop/makarizo/?itemId=7896088868&channelSource=pdp,-,"Makarizo Vitaglitz Serum Keratin Aloe Melon 6x1ml
Rp15.000",-,4.9,-,Kab. Gresik,Kecantikan,-,https://www.lazada.co.id/products/pdp-i7896088868-s14311700171.html,Lazada,2026-09-21 10:14
Wings Flagship Store,https://www.lazada.co.id/shop/wings-flagship-store/?itemId=5576674231&channelSource=pdp,-,"NEO Coffee Instan Moccachino 9x20gr
Rp11.100",-,4.9,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i5576674231-s11030420388.html,Lazada,2026-09-21 10:14
Apotek Mandjur 1918,https://www.lazada.co.id/shop/apotek-mandjur-1918/?itemId=7173608666&channelSource=pdp,-,"My Baby Minyak Telon Plus 30 ml - Aroma Telon Eucalyptus Anti Nyamuk Hingga 8 Jam
Rp10.800",-,4.9,-,Kab. Gresik,Ibu & Bayi,-,https://www.lazada.co.id/products/pdp-i7173608666-s13492618196.html,Lazada,2026-09-21 10:14
Kelly Cosmetics,https://www.lazada.co.id/shop/kelly-cosmetics/?itemId=7305820926&channelSource=pdp,-,"Kelly Pearl Cream 15gr Original BPOM
Rp19.795",-,4.9,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i7305820926-s13694444971.html,Lazada,2026-09-21 10:14
KATSAE,https://www.lazada.co.id/shop/katsae/?itemId=7735494760&channelSource=pdp,-,"KATSAE - STICKER LOGO / STICKER BRAND
Rp500",-,4.8,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i7735494760-s14230694971.html,Lazada,2026-09-21 10:14
Pigeon Indonesia,https://www.lazada.co.id/shop/pigeon-indonesia/?itemId=514896404&channelSource=pdp,-,"PIGEON Facial Foam 100Ml
Rp25.300",-,4.9,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i514896404-s700212897.html,Lazada,2026-09-21 10:14
AGHNIA OL SHOP,https://www.lazada.co.id/shop/aghnia-ol-shop/?itemId=7384456568&channelSource=pdp,-,"RINSO Anti Noda PLUS MOLTO 400gr Detergen Bubuk paket isi 2 Murah
Rp12.900 -14%",-,4.9,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i7384456568-s13798442282.html,Lazada,2026-09-21 10:14
virelai.teknik,https://www.lazada.co.id/shop/virelai-teknik/?itemId=1068476750&channelSource=pdp,-,"Pyramid Lem Karet Tambal Ban Tubeless 40g 90g
Rp10.499",-,4.9,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i1068476750-s13395776577.html,Lazada,2026-09-21 10:14
SNW STORE 1625496064,https://www.lazada.co.id/shop/snw-store-1625496064/?itemId=5497720327&channelSource=pdp,-,"HDY sandal jepit pria distro terlaris/kekinian dan termurah berkualitas
Rp10.500 -64%",-,4.7,-,Kab. Gresik,Sepatu & Sandal,-,https://www.lazada.co.id/products/pdp-i5497720327-s10954010204.html,Lazada,2026-09-21 10:14
attayasnack,https://www.lazada.co.id/shop/attayasnack/?itemId=8227742063&channelSource=pdp,-,"Coklat collins reapack 200 gram toping donat hiasan kue selai roti
Rp13.500 -10%",-,4.8,-,Kab. Gresik,Makanan & Minuman,-,https://www.lazada.co.id/products/pdp-i8227742063-s14635796316.html,Lazada,2026-09-21 10:14
finishshop.co,https://www.lazada.co.id/shop/finishshop-co/?itemId=8782000505&channelSource=pdp,-,"SCARLETT WHITENING EAU DE PARFUM (EDP) 30ML SERIES ( READY ALL VARIAN AROMA )
Rp8.800",-,4.1,-,Kab. Gresik,Kecantikan,-,https://www.lazada.co.id/products/pdp-i8782000505-s16227848454.html,Lazada,2026-09-21 10:14
Beorganik Store,https://www.lazada.co.id/shop/beorganik-store/?itemId=6977970789&channelSource=pdp,-,"Tawas Spray Beorganik / Crystal Deodorant / Natural Deodoran 100ml
Rp9.520",-,4.9,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i6977970789-s14317734574.html,Lazada,2026-09-21 10:14
AK 84,https://www.lazada.co.id/shop/ak-84/?itemId=7895362353&channelSource=pdp,-,"minyak angin aroma terapi
Rp6.250",-,4.4,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i7895362353-s16200562989.html,Lazada,2026-09-21 10:14
Wings Flagship Store,https://www.lazada.co.id/shop/wings-flagship-store/?itemId=7861566038&channelSource=pdp,-,"[Paket Isi 3] KODOMO Pasta Gigi Strawberry Tube 45GR
Rp13.430",-,4.9,-,Kab. Gresik,Lainnya,-,https://www.lazada.co.id/products/pdp-i7861566038-s14274434526.html,Lazada,2026-09-21 10:14
