nama_toko,url_toko,rating_toko,nama_produk,harga,rating_produk,terjual,lokasi_seller,kategori,sub_kategori,badge,url_produk,platform,waktu_scrape
-,-,-,"Gratis Ongkir + Banyak Promo
belanja di aplikasi",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/mobile-apps,Tokopedia,2026-09-25 09:50
-,-,-,Tentang Tokopedia,-,-,-,Kab. Gresik,Lainnya,,Official Store,https://www.tokopedia.com/about,Tokopedia,2026-09-25 09:50
-,-,-,Mulai Berjualan,-,-,-,Kab. Gresik,Lainnya,,-,https://seller.tokopedia.com/edu/topic/mulai-bisnis/materi-seller-baru,Tokopedia,2026-09-25 09:50
-,-,-,promo,-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/promo,Tokopedia,2026-09-25 09:50
-,-,-,Tokopedia Care,-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/help,Tokopedia,2026-09-25 09:50
-,-,-,"Eiger Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/eiger-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 99.000,-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/eiger-gresik/dompet-eiger-x-florence-wallet-original-1729620235774233188,Tokopedia,2026-09-25 09:50
-,-,-,Rp 309.000,-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/eiger-gresik/tas-eiger-tp-hzl-comp-descent-travel-pouch-1729616483929524836,Tokopedia,2026-09-25 09:50
-,-,-,Rp 279.000,-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/eiger-gresik/tas-eiger-sender-arc-3-0-pouch-4l-original-1729616409899076196,Tokopedia,2026-09-25 09:50
-,-,-,"D2 Computer Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/d2-computer,Tokopedia,2026-09-25 09:50
-,-,-,Rp 7.000.000,-,5,1,Kab. Gresik,Komputer & Laptop,Desktop & Mini PC,-,https://www.tokopedia.com/d2-computer/set-pc-gaming-core-i7-siap-pakai-gaming-desain-editing-dan-render-1733694778913818039,Tokopedia,2026-09-25 09:50
-,-,-,"Anugrah Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,-,https://www.tokopedia.com/irapriyan,Tokopedia,2026-09-25 09:50
-,-,-,Rp 125.000,-,5,10,Kab. Gresik,Handphone & Tablet,Nomor Perdana & Voucher,-,https://www.tokopedia.com/irapriyan/perdana-simpati-cantik-seri-7777xx,Tokopedia,2026-09-25 09:50
-,-,-,Rp 100.000,-,5,6,Kab. Gresik,Handphone & Tablet,Nomor Perdana & Voucher,-,https://www.tokopedia.com/irapriyan/perdana-cantik-by-u-kuota-3gb-kode-a,Tokopedia,2026-09-25 09:50
-,-,-,Rp 150.000,-,4.8,9,Kab. Gresik,Handphone & Tablet,Nomor Perdana & Voucher,-,https://www.tokopedia.com/irapriyan/perdana-telkomsel-cantik-seri-8888xx,Tokopedia,2026-09-25 09:50
-,-,-,"GRESIKpyro
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/gresikpyro,Tokopedia,2026-09-25 09:50
-,-,-,"Toko Murah Gresik_NEW
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/toko-murah-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 1.800,-,4,250,Kab. Gresik,Pertukangan,Hand Tools,-,https://www.tokopedia.com/toko-murah-gresik/obeng-taspen-bolak-balik-serbaguna-1731458692036003765,Tokopedia,2026-09-25 09:50
-,-,-,Rp 18.500,-,-,-,Kab. Gresik,Pertukangan,Perlengkapan Listrik,-,https://www.tokopedia.com/toko-murah-gresik/steker-t-arde-light-house-lh258-ta-1731920781491144629,Tokopedia,2026-09-25 09:50
-,-,-,Rp 20.000,-,-,6,Kab. Gresik,Pertukangan,Perlengkapan Listrik,-,https://www.tokopedia.com/toko-murah-gresik/stop-kontak-lubang-2-broco-harga-termurah-1731472185332565941,Tokopedia,2026-09-25 09:50
-,-,-,"Sundra Wisata Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/sundra-wisata-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 23.000,-,-,-,Kab. Gresik,"Tiket, Travel, Voucher",Paket Tur,-,https://www.tokopedia.com/sundra-wisata-gresik/umroh-musim-baru-2025-bersama-sundra-wisata-gresik-1731502077774169664,Tokopedia,2026-09-25 09:50
-,-,-,"pancing gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Rumah Tangga,,Mall,https://www.tokopedia.com/pancing-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 9.700.000,-,-,1,Kab. Gresik,Olahraga,Alat Pancing,-,https://www.tokopedia.com/pancing-gresik/rell-shimano-stella-sw-4000-kondisi-new-garansi-1731536351957189988,Tokopedia,2026-09-25 09:50
-,-,-,Rp 330.000,-,-,-,Kab. Gresik,Olahraga,Alat Pancing,-,https://www.tokopedia.com/pancing-gresik/pancing-rell-set-iroly-shepia-sw-1731536440828986724,Tokopedia,2026-09-25 09:50
-,-,-,"Kedai Herbal Gresik
Kab. Gresik
Lihat Toko",-,-,-,Kab. Gresik,Lainnya,,Mall,https://www.tokopedia.com/kedai-herbal-gresik,Tokopedia,2026-09-25 09:50
-,-,-,Rp 55.000,-,-,3,Kab. Gresik,Kecantikan,Perawatan Wajah,-,https://www.tokopedia.com/kedai-herbal-gresik/sunscreen-le-diamond-premium-quality-pria-wanita-1729745668152330051,Tokopedia,2026-09-25 09:50
