nama_produk,harga,lokasi_seller,nama_toko,url_produk,kategori,platform,waktu_scrape
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Urutkan berdasarkan:,-,petis udang super asli Gresik 1kg,-,-,Lainnya,Lazada,2026-09-03 18:52
petis udang super asli Gresik 1kg,Rp32.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Pudak Khas Gresik Besar Rasa Original Khas Gresik 10pcs,Rp56.122,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Kab. Gresik,Rp56.122,Gresik Typical Pandan Small Pudak Cake 10 Pieces,-,-,Lainnya,Lazada,2026-09-03 18:52
Gresik Typical Pandan Small Pudak Cake 10 Pieces,Rp39.796,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Pudak Gresik Kecil Rasa Gula Aren 1 ikat isi 10 buah,Rp39.796,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
petis udang super asli Gresik 4kg,Rp105.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
KERUPUK IKAN bentuk Bebek | Khas sidayu Gresik,Rp22.500,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
Small Pudak Cake with Gresik Typical Sago 10 Pieces,Rp39.796,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
petis udang asli Gresik 5kg,Rp130.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
OTAK-OTAK BANDENG - Bumbu Komplit Khas Gresik 500 Gram,Rp84.395,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
OTAK-OTAK BANDENG - Bumbu Komplit Khas Gresik 1 Ekor,Rp84.395,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
petis udang super asli Gresik 6kg,Rp155.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
petis udang istimewa Gresik 1kg plus toples,Rp40.000,Kab. Gresik,-,-,Rumah Tangga,Lazada,2026-09-03 18:52
KUE PUDAK Besar - Brownies Khas Gresik 10biji,Rp62.925,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
Otak - Otak Bandeng Gresik 500 gram,Rp88.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
KUE PUDAK Besar - Durian Khas Gresik 10biji,Rp83.333,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
petis udang istimewa asli Gresik 1kg,Rp35.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
petis udang super asli Gresik 500gr,Rp18.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Kerupuk Cumi Enak Khas Sidayu Gresik,Rp23.800,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
Jenang Jubung Ketan Hitam Khas Gresik 48 pcs,Rp57.483,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Songkok Ac Black Original T9 Gresik,Rp10.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Bonggolan Ikan Laut - Khas Sidayu Gresik,Rp16.667,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
KUE PUDAK Kecil Brownies Khas Gresik 10biji,Rp43.878,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
petis udang super asli Gresik 1kg plus toples,Rp34.000,Kab. Gresik,-,-,Rumah Tangga,Lazada,2026-09-03 18:52
Terasi udang super asli Gresik 500gram,Rp55.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Bandeng Bakar Cabut Duri Bumbu Komplit Sapit Khas Gresik 500 Gr,Rp78.025,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
Terasi udang super asli Gresik 1kg,Rp110.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
rebana hadroh ukir rebana ukuran 30 rebana gresik alat musik hadroh,Rp1.199.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Bonggolan Cireng Ikan Khas Sidayu Gresik,Rp15.500,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
BONGGOLAN GRESIK,Rp15.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
kopi giras gresik,Rp70.000,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
KOPI SEDUH DEPLOK GRESIK,Rp35.000,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
KERIPIK GETAS 200 GRAM FREE BUBLE WRAP KRIPIK GETAS KHAS GRESIK ENAK RENYAH GURIH,Rp14.999,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
Herbisida Sidafos 1 ltr Pembasmi rumput,Rp70.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
petis udang super 1 kg,Rp30.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
Keripik Getas Renyah - 200gr / Kripik Beras Murah / Oleh - Oleh Khas Gresik,Rp15.249,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
Petis Udang Istimewa Asli Gresik 1 kg - Sajian masakan khas Jawa Timur - Food,Rp31.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
500GRAM - Keripik Getas Hafizah Renyah - 1/2kg / Kripik Beras Santan Khas Gresik,Rp29.249,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
Keripik Usus Ayam Gurih Renyah - 250gr / Kripik Usus Kripsus Tepung Krispi Homemade / Oleh - Oleh Gresik,Rp20.249,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:52
Petis Udang Enak Asli Gresik 500 gram - Masakan sajian khas Jawa Timur,Rp11.900,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:52
