judul,tanggal,topik,sumber,tipe,ringkasan,url,waktu_scrape
"detikJatimRabu, 26 Agu 2026 16:10 WIB Dalang Penipuan SK ASN Palsu di Gresik Dituntut 3,5 Tahun Bui Sidang penipuan SK ASN di PN Gresik berlanjut. Terdakwa Antoni dituntut 3,5 tahun penjara setelah menipu belasan korban dengan kerugian Rp 1,5 miliar.",26 Agu 2026,Umum,Detik - Gresik,nasional,"Sidang penipuan SK ASN di PN Gresik berlanjut. Terdakwa Antoni dituntut 3,5 tahun penjara setelah menipu belasan korban dengan kerugian Rp 1,5 miliar.",https://www.detik.com/jatim/hukum-dan-kriminal/d-8635305/dalang-penipuan-sk-asn-palsu-di-gresik-dituntut-3-5-tahun-bui,2026-08-26 19:28
"detikJatimSelasa, 25 Agu 2026 08:45 WIB Maling Motor Dihajar Massa di Gresik Ternyata Sudah 5 Kali Beraksi Maling motor di Gresik, AAS, ditangkap setelah beraksi di lima lokasi. Uang hasil curian digunakan untuk judi dan narkoba. Kini dia terancam 7 tahun penjara.",25 Agu 2026,Keamanan & Hukum,Detik - Gresik,nasional,"Maling motor di Gresik, AAS, ditangkap setelah beraksi di lima lokasi. Uang hasil curian digunakan untuk judi dan narkoba. Kini dia terancam 7 tahun penjara.",https://www.detik.com/jatim/hukum-dan-kriminal/d-8633410/maling-motor-dihajar-massa-di-gresik-ternyata-sudah-5-kali-beraksi,2026-08-26 19:28
"detikJatimSelasa, 25 Agu 2026 08:15 WIB Kepergok Curi Motor di Gresik, Warga Mataram Babak Belur Dihajar Massa Seorang pria berinisial AAS ditangkap setelah kepergok mencuri motor di Gresik. Ia dihajar massa sebelum diamankan polisi. DPO pelaku lain masih diburu.",25 Agu 2026,Keamanan & Hukum,Detik - Gresik,nasional,Seorang pria berinisial AAS ditangkap setelah kepergok mencuri motor di Gresik. Ia dihajar massa sebelum diamankan polisi. DPO pelaku lain masih diburu.,https://www.detik.com/jatim/hukum-dan-kriminal/d-8633402/kepergok-curi-motor-di-gresik-warga-mataram-babak-belur-dihajar-massa,2026-08-26 19:28
"detikJatimMinggu, 23 Agu 2026 18:45 WIB Korban Dukun Cabul di Gresik Bertambah, Modusnya 'Istri Secara Ruh' Polisi mendalami kasus pelecehan seksual oleh NA, dukun di Gresik. Dua korban melapor, termasuk yang memiliki hubungan keluarga.",23 Agu 2026,Keamanan & Hukum,Detik - Gresik,nasional,"Polisi mendalami kasus pelecehan seksual oleh NA, dukun di Gresik. Dua korban melapor, termasuk yang memiliki hubungan keluarga.",https://www.detik.com/jatim/hukum-dan-kriminal/d-8631436/korban-dukun-cabul-di-gresik-bertambah-modusnya-istri-secara-ruh,2026-08-26 19:28
"detikJatimMinggu, 23 Agu 2026 13:59 WIB Waduk di Gresik Surut, Anak-anak Manfaatkan Kubangan untuk Berburu Ikan Waduk di Desa Tenaru, Gresik, mulai mengering. Anak-anak memanfaatkan sisa kubangan untuk berburu ikan di tengah menyusutnya air waduk.",23 Agu 2026,Lingkungan,Detik - Gresik,nasional,"Waduk di Desa Tenaru, Gresik, mulai mengering. Anak-anak memanfaatkan sisa kubangan untuk berburu ikan di tengah menyusutnya air waduk.",https://www.detik.com/jatim/foto/d-8631079/waduk-di-gresik-surut-anak-anak-manfaatkan-kubangan-untuk-berburu-ikan,2026-08-26 19:28
"detikJatimSabtu, 22 Agu 2026 19:41 WIB Odong-odong Diduga Rem Blong Tabrak 2 Motor di Gresik, 1 Orang Tewas Kecelakaan beruntun di Gresik melibatkan odong-odong dan 2 sepeda motor, mengakibatkan 1 orang meninggal dan 2 lainnya luka-luka. Polisi sedang menyelidiki.",22 Agu 2026,Keamanan & Hukum,Detik - Gresik,nasional,"Kecelakaan beruntun di Gresik melibatkan odong-odong dan 2 sepeda motor, mengakibatkan 1 orang meninggal dan 2 lainnya luka-luka. Polisi sedang menyelidiki.",https://www.detik.com/jatim/berita/d-8630358/odong-odong-diduga-rem-blong-tabrak-2-motor-di-gresik-1-orang-tewas,2026-08-26 19:28
"Waduk di Gresik Surut, Anak-anak Manfaatkan Kubangan untuk Berburu Ikan",-,Lingkungan,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8631079/waduk-di-gresik-surut-anak-anak-manfaatkan-kubangan-untuk-berburu-ikan,2026-08-26 19:28
Lahan Pertanian Gresik Hadapi Ancaman Kekeringan,-,Lingkungan,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8616811/lahan-pertanian-gresik-hadapi-ancaman-kekeringan,2026-08-26 19:28
Evakuasi 10 Tiang Listrik Roboh di Gresik,-,Umum,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8608638/evakuasi-10-tiang-listrik-roboh-di-gresik,2026-08-26 19:28
Polisi Berlakukan Rekayasa Lalu Lintas di Tengah Perbaikan Jalan Gresik,-,Infrastruktur,Detik - Gresik,nasional,,https://www.detik.com/jatim/foto/d-8595282/polisi-berlakukan-rekayasa-lalu-lintas-di-tengah-perbaikan-jalan-gresik,2026-08-26 19:28
