nama,kategori,rating,jumlah_ulasan,tipe,alamat,telepon,website,latitude,longitude,url_maps,diambil_pada
Bank BRI KCP Gresik,bank,"3,5",,,,1 500 017,,,,https://www.google.com/maps/place/Bank+BRI+KCP+Gresik/data=!4m7!3m6!1s0x2dd80041af4d6ea1:0xa488a647d7123900!8m2!3d-7.1673142!4d112.6439702!16s%2Fg%2F1pzpyfm9k!19sChIJoW5Nr0EA2C0RADkS10emiKQ?authuser=0&hl=id&rclk=1,2026-07-17 14:51
BRI Cabang Gresik,bank,"2,5",,,,(021) 14017,https://bri.co.id/,,,https://www.google.com/maps/place/BRI+Cabang+Gresik/data=!4m7!3m6!1s0x2dd80144bc08a49f:0xae6ed4c6188d4340!8m2!3d-7.1651017!4d112.6550554!16s%2Fg%2F11pyzqtycx!19sChIJn6QIvEQB2C0RQEONGMbUbq4?authuser=0&hl=id&rclk=1,2026-07-17 14:51
Bank Bri,bank,"5,0",,,,,https://bri.co.id/,,,https://www.google.com/maps/place/Bank+Bri/data=!4m7!3m6!1s0x2dd8000ab97000f7:0x38482a46fc3f6d3c!8m2!3d-7.173428!4d112.6210268!16s%2Fg%2F11n__6jw87!19sChIJ9wBwuQoA2C0RPG0__EYqSDg?authuser=0&hl=id&rclk=1,2026-07-17 14:51
BANK BRI Unit Kartini,bank,"3,3",,,,(021) 1500017,,,,https://www.google.com/maps/place/BANK+BRI+Unit+Kartini/data=!4m7!3m6!1s0x2dd800684af4ee2b:0xfec0208d3d0672ad!8m2!3d-7.1637319!4d112.6422785!16s%2Fg%2F11btms085c!19sChIJK-70SmgA2C0RrXIGPY0gwP4?authuser=0&hl=id&rclk=1,2026-07-17 14:51
Bank BRI Unit Sukomulyo Agung,bank,"3,1",,,,1 500 017,,,,https://www.google.com/maps/place/Bank+BRI+Unit+Sukomulyo+Agung/data=!4m7!3m6!1s0x2e77fe26d62c6ccb:0x878bb242017afb87!8m2!3d-7.1381028!4d112.6168416!16s%2Fg%2F11b6g9kqck!19sChIJy2ws1ib-dy4Rh_t6AUKyi4c?authuser=0&hl=id&rclk=1,2026-07-17 14:51
Bank BRI Unit Multiplaza,bank,"4,0",,,,1 500 017,https://bri.co.id/,,,https://www.google.com/maps/place/Bank+BRI+Unit+Multiplaza/data=!4m7!3m6!1s0x2dd8005f52124d57:0xd8b12bce0bd0b243!8m2!3d-7.15161!4d112.64937!16s%2Fg%2F11b6g8ty2_!19sChIJV00SUl8A2C0RQ7LQC84rsdg?authuser=0&hl=id&rclk=1,2026-07-17 14:51
Bank BRI CRM - BRI UNIT KEMBANGAN,bank,,,,,(021) 14017,https://bri.co.id/,,,https://www.google.com/maps/place/Bank+BRI+CRM+-+BRI+UNIT+KEMBANGAN/data=!4m7!3m6!1s0x2dd801d247218c2b:0xcc5593c3d07f3505!8m2!3d-7.1734214!4d112.6210013!16s%2Fg%2F11rtgk1yrs!19sChIJK4whR9IB2C0RBTV_0MOTVcw?authuser=0&hl=id&rclk=1,2026-07-17 14:51
Bank BRI UNIT Manyar Gresik,bank,"3,5",,,,(031) 3952424,https://bri.co.id/,,,https://www.google.com/maps/place/Bank+BRI+UNIT+Manyar+Gresik/data=!4m7!3m6!1s0x2e77fe0e68ced3e1:0xc55d8acd0e79c588!8m2!3d-7.1215301!4d112.6031518!16s%2Fg%2F11cmzhn84w!19sChIJ4dPOaA7-dy4RiMV5Ds2KXcU?authuser=0&hl=id&rclk=1,2026-07-17 14:51
Bank BRI ATM - GRESS MALL GRESIK,bank,,,,,(021) 14017,https://bri.co.id/,,,https://www.google.com/maps/place/Bank+BRI+ATM+-+GRESS+MALL+GRESIK/data=!4m7!3m6!1s0x2e77ff3792ab4bdf:0xa09a2c3b81fe20fd!8m2!3d-7.157879!4d112.6164473!16s%2Fg%2F11sqkhhfkc!19sChIJ30urkjf_dy4R_SD-gTssmqA?authuser=0&hl=id&rclk=1,2026-07-17 14:51
ATM BRI,bank,"4,3",,,,,,,,https://www.google.com/maps/place/ATM+BRI/data=!4m7!3m6!1s0x2e77fffd7bd23191:0xa31c60fa8d9c6d00!8m2!3d-7.1610946!4d112.6157796!16s%2Fg%2F11f632qmtv!19sChIJkTHSe_3_dy4RAG2cjfpgHKM?authuser=0&hl=id&rclk=1,2026-07-17 14:51
