Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ummi Farikhah,4,2023-04-06T07:35:08.666Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Leonardus Haryosampang G,5,2023-04-04T01:12:46.059Z,"Pelayanan cepat, dipermudah, biaya transparan dan perlu ditiru di semua area di Indonesia"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Azundha Rahmadani A.,5,2023-03-21T04:17:07.952Z,"untuk fasilitas yang disediakan sudah sangat baik. tetapi untuk loket 5 dari dinkes gresik kurang tanggap pelayanannya, follow up revisi pengurusan SIP belum sampai ke petugas yang sedang berjaga di MPP, akhirnya harus menunggu revisi SIP yang baru lebih dari satu jam."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Lin9 PouLin3,4,2023-03-15T15:45:35.349Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Opa OpA,5,2023-03-13T01:56:16.057Z,Terima kasih atas pelayanan nya
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,sumadi bukhori,1,2023-02-16T00:17:28.037Z,"Pelayanan yang ribet dan lemot, terutama loket 13 pak sugi suka ilang ilangan orangnya gk niat kerja"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Aliaa Nurrahma,5,2023-02-13T11:05:08.364Z,Mudah cepat plyanannya..
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Adit Rahman,3,2023-01-26T04:17:56.706Z,"Niat nya mau ambil Kartu Keluarga yang saya ngurus 2 hari lalu di dukcapil, di kasih surat pengambilan di suruh ambil nya di kantor MPP. Saya datang jam 10 an pagi, katanya petugas nya nggak ada dan di suruh kembali jam 13:00 atau besok pagi nya. Apa iya petugas nya cuma 1 dan gak ada gantinya, atau tiap hari ada kuota jatah untuk KK, kasihan yg sudah izin kerja niat buat ambil, ternyata petugas nya gak ada atau nihil. Untuk tempat nya bagus dan nyaman, karena masih baru juga."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Imam Safii,5,2022-07-28T14:34:34.123Z,One stop services integration
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Muhammad Ahmad,4,2022-07-27T06:39:59.092Z,Gedung bagus Parkir luas
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Suzy,5,2022-07-11T04:24:19.208Z,Pelayanan cepat tanpa bingung ninggal baby lama2...  Ngurus kk dan KTP cuma bbrapa menit sudah jadi...
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,insanul jayanti,5,2022-07-07T08:12:47.328Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,cahyo subchi,1,2022-06-17T02:11:32.955Z,"Pelayanan masih selevel dengan kelurahan dan kecamatan, hari ini jaringan trouble, ditolak pelayanan dan diarahkan ke dispendukcapil untuk cetak ktp.Tidak ada pemberitahuan sebelumnya padahal kemarin pemberitahuan untuk mengurus via WA. Estimasi waktu pun tidak bisa disampaikan kapan seleseinya.Jawaban penanganan karena jaringan troble mirip sekali dengan di kecamatan dan kelurahan."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,BAS DIMSUM,5,2022-06-08T02:15:25.347Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rosari Utomo,5,2022-06-02T03:34:20.256Z,"Mengurus pindah penduduk antar kota dalam provinsi bisa dilakukan di mpp ini dengan mudah, sekaligus bisa bayar pajak kendaraan ya di sini juga bisa."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Sella GesitC,5,2022-05-25T09:10:12.562Z,👍
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ummu Zulfa,5,2022-05-19T05:32:16.075Z,"Pelayanan memuaskan, cepat, ramah, ada kafetaria juga. Tempatnya adem, bersih."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,F D,5,2022-05-13T20:12:46.521Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,rina agustin,2,2022-05-12T02:09:38.483Z,Loket imb hanya 1 orang. Antrian per orangnya  bisa sampek 30menit.
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Shafira Rosh,3,2022-04-13T16:40:47.438Z,"Ruang tunggu sangat nyaman. Petugas resepsionis depan sangat ramah + sigap memberi arahan & no antrian.  Saya  mengurus perubahan data KK namun petugas KK kurang ramah dan tdk memberi penjelasan pd customer, smg kedepannya diperbaiki karena seharusnya petugas mengedepankan pelayanan yg baik dan jelas agar customer tidak bingung dan urusan cepat selesai."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Denata Ricko,5,2022-04-12T03:52:51.804Z,"Mengurus pergantian alamat KTP di booth disdukcapil sangat cepat.  Tidak perlu bawa FC""an Cukup bawa KTP lama dan KK Asli."
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Akhmad muhtadiyn,3,2022-04-12T02:31:02.576Z,"Jam bukanya yg kurang, saran saya buka 24jam"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,BIBIE HOBI,5,2022-03-29T05:23:32.455Z,Pelayanan sangat cepet Tempat antrian juga nyaman
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Nur Salim,3,2022-03-10T17:50:54.950Z,
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,D3 TM 16 Fareid Piston 07,1,2022-02-24T05:21:03.306Z,12.05 sudah tutup maszeh
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Rizki Adi Adha,5,2022-02-24T04:10:00.431Z,"Pelayanannya cepat sekali. Untuk yang baru pertama kali kesini tempanya paling belakang. Dari pintu masuk mengikuti jalan belokan pertama liat pertigaan sebelah kiri, kemudian lurus terus sekitar kurang kebih 500 belok kanan nanti ada petunjuknya jika kurang faham"
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Ikhwanun N,5,2022-01-27T14:11:49.002Z,MANTAP
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Gee_ Hart0,5,2021-12-29T04:42:57.405Z,Bikin ktp baru syaratnya cuma fc kk . Trus lgs foto.. Bsoknya Tinggal ambil kartu KTPnya.. Mantap pelayananya. Terimakasih utk pemerintah👍👍👍🇮🇩🇮🇩🇮🇩
Mall Pelayanan Publik Kabupaten Gresik,4.3,59,Retno Dini,5,2021-12-15T12:13:06.663Z,"Baru tau kalo Gresik udah punya fasilitas pelayanan publik yang sangat ngebantu banget. Semua instansi pelayanan publik dikumpulkan dalam 1 gedung yang nyaman dan aman. Antriannya jauh lebih sepi dari kantor aslinya, jadi kalo ngurus apa2 jadi serba cepet. Fasilitas juga lengkap mulai dari wifi gratis, cafetaria, bahkan ruang laktasi. Semuanya dalam keadaan baik dan bersih. Kursi tunggu juga nyaman banget. Kebetulan kesana buat urus SKCK, jadi diarahkan buat ambil antrian polres dan langsung ditanganin karna ga ada yang antri😬. Ibu2nya ramah banget, asik diajak ngobrol. Dan ternyata mall pelayanan publik ini udah berjalan setahun lebih, yakin bgt banyak orang gresik yang ga tau. Mungkin ini PR buat pemkab buat sosialisasi ke masyarakat. Good job buat gresik udah berani selangkah lebih maju dari kota2 lain✨"
