Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan,teks_cleaned,teks_normalized,teks_final,sentimen,sentimen_score
RSUD Ibnu Sina Gresik,4.2,1807,Alfatih Irawan (Irana),5,2026-07-18T05:12:32.350Z,"Alhamdulillah  suami berada di R.Dahlia.. pelayanan  sangat bagus, memuaskan ,ramah, sabar,  dan ruangan bersih... Terimakasih buat petugas R.Dahlia👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾",alhamdulillah suami berada di r dahlia pelayanan sangat bagus memuaskan ramah sabar dan ruangan bersih terimakasih buat petugas r dahlia,alhamdulillah suami berada di r dahlia pelayanan sangat bagus memuaskan ramah sabar dan ruangan bersih terimakasih buat petugas r dahlia,alhamdulillah suami berada dahlia pelayanan bagus memuaskan ramah sabar ruangan bersih terimakasih buat petugas dahlia,Negatif,0.9882
RSUD Ibnu Sina Gresik,4.2,1807,Tatik Ezza,5,2026-07-18T04:44:05.313Z,Terima kasih ruang dahlia tempat nya bersih dan nyaman.. 🙏🙏,terima kasih ruang dahlia tempat nya bersih dan nyaman,terima kasih ruang dahlia tempat nya bersih dan nyaman,terima kasih ruang dahlia tempat bersih nyaman,Negatif,0.9915
RSUD Ibnu Sina Gresik,4.2,1807,widya yuni,5,2026-07-18T04:43:09.108Z,puas untuk pelayanannya Terimakasih,puas untuk pelayanannya terimakasih,puas untuk pelayanannya terimakasih,puas pelayanannya terimakasih,Negatif,0.9954
RSUD Ibnu Sina Gresik,4.2,1807,Naning Sri,5,2026-07-18T04:40:28.814Z,Perawat maupun dokter cara menangani nya disini baik dan ramah,perawat maupun dokter cara menangani nya disini baik dan ramah,perawat maupun dokter cara menangani nya disini baik dan ramah,perawat maupun dokter cara menangani disini baik ramah,Negatif,0.7111
RSUD Ibnu Sina Gresik,4.2,1807,Almeera Azzahra,5,2026-07-18T04:36:36.950Z,Sangat bagus pelayanannya,sangat bagus pelayanannya,sangat bagus pelayanannya,bagus pelayanannya,Negatif,0.9973
RSUD Ibnu Sina Gresik,4.2,1807,king'za gilang,5,2026-07-17T05:17:25.384Z,Terima kasih atas pelayanan diruang dahlia terhadap ibu saya kamarnya dingin dan nyaman,terima kasih atas pelayanan diruang dahlia terhadap ibu saya kamarnya dingin dan nyaman,terima kasih atas pelayanan diruang dahlia terhadap ibu saya kamarnya dingin dan nyaman,terima kasih atas pelayanan diruang dahlia terhadap ibu kamarnya dingin nyaman,Negatif,0.9793
RSUD Ibnu Sina Gresik,4.2,1807,Maria Dwi,5,2026-07-17T05:14:44.520Z,Dokter dan perawat semua baik dan ramah2. Terima kasih sudah memberikan pelayanan yg baik.,dokter dan perawat semua baik dan ramah2 terima kasih sudah memberikan pelayanan yg baik,dokter dan perawat semua baik dan ramah2 terima kasih sudah memberikan pelayanan yang baik,dokter perawat semua baik ramah2 terima kasih memberikan pelayanan baik,Negatif,0.987
RSUD Ibnu Sina Gresik,4.2,1807,Nurul Khikmah,5,2026-07-17T05:07:07.006Z,Terima kasih buat perawat ruang dahlia yang ramah dan baik2,terima kasih buat perawat ruang dahlia yang ramah dan baik2,terima kasih buat perawat ruang dahlia yang ramah dan baik2,terima kasih buat perawat ruang dahlia ramah baik2,Negatif,0.8137
RSUD Ibnu Sina Gresik,4.2,1807,Faridah Hasana,5,2026-07-17T04:58:44.716Z,Terima kasih atas perawatan diruang dahlia perawat sama dokternya baik2 .ruangannya dingin dan nyaman,terima kasih atas perawatan diruang dahlia perawat sama dokternya baik2 ruangannya dingin dan nyaman,terima kasih atas perawatan diruang dahlia perawat sama dokternya baik2 ruangannya dingin dan nyaman,terima kasih atas perawatan diruang dahlia perawat sama dokternya baik2 ruangannya dingin nyaman,Negatif,0.9783
RSUD Ibnu Sina Gresik,4.2,1807,Trya Sezha,5,2026-07-16T05:10:26.399Z,"perawatnya cukup rama, ruangnya cukup nyaman",perawatnya cukup rama ruangnya cukup nyaman,perawatnya cukup rama ruangnya cukup nyaman,perawatnya cukup rama ruangnya cukup nyaman,Negatif,0.9921
