Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
Kantor Bupati Gresik,4.3,116,Afif Machrus,4,2026-07-05T02:24:18.840Z,Gressiik
Kantor Bupati Gresik,4.3,116,rienz Rini,4,2026-07-04T03:28:08.779Z,
Kantor Bupati Gresik,4.3,116,Shubkhi Basyar,5,2026-07-01T22:49:28.291Z,Hari bhayangkara 80
Kantor Bupati Gresik,4.3,116,Titik Ernawati,5,2026-06-27T16:32:43.371Z,"Gedung yang megah bersih dan luas . Pelayanan bagus.  Parkiran luas, ada lapangan yang luas. Ada tenaga keamanan dari pol PP"
Kantor Bupati Gresik,4.3,116,timbangandigital surabaya,5,2026-06-25T21:51:39.621Z,
Kantor Bupati Gresik,4.3,116,umi masturoh,5,2026-06-13T17:09:10.662Z,Luar biasa acara ini dan para peserta sangat antusias mengikuti program ini dan siap untuk agenda berikutnya sesuai amanah yang diiemvan
Kantor Bupati Gresik,4.3,116,SAIFUNG ARIS,5,2026-06-08T08:37:56.993Z,
Kantor Bupati Gresik,4.3,116,Gb Gb1,1,2026-05-24T23:22:11.719Z,"Perhatikan jalan sebelah, jalan tidak rata tanpa perbaikan"
Kantor Bupati Gresik,4.3,116,YAYAN- Yani_Hatmono,5,2026-05-15T11:23:55.392Z,Iki ngono kantor bupati e Gresik
Kantor Bupati Gresik,4.3,116,arafahzahra salsabila,1,2026-04-30T07:59:35.630Z,"Parkir ypr di jln dr.wahidin tolong dibenahin dong pak, sebelum dirapihkan kpk"
Kantor Bupati Gresik,4.3,116,Arfan Santoso,5,2026-04-19T22:20:28.419Z,
Kantor Bupati Gresik,4.3,116,Indra Fredy,1,2026-04-05T08:43:41.503Z,"PDAM banyumu gak masok, matekan"
Kantor Bupati Gresik,4.3,116,Sujiran Ssos,5,2026-04-01T06:29:34.374Z,Tempat olah raga pagi hari sejuk dan banyak pepohonan dan tempat pelayanan masyarakat
Kantor Bupati Gresik,4.3,116,Gemilang Citra Perdana,5,2026-02-24T04:00:56.714Z,
Kantor Bupati Gresik,4.3,116,Agung Sutikno,5,2026-01-24T06:13:18.496Z,
Kantor Bupati Gresik,4.3,116,Azka Sujimaha putra,5,2026-01-05T11:36:00.363Z,
Kantor Bupati Gresik,4.3,116,Baswara Aji,4,2025-09-17T11:47:00.549Z,
Kantor Bupati Gresik,4.3,116,Rochimah -,5,2025-08-27T07:08:54.043Z,Tempat berkunjung jika ada urusan dinas dan upacara
Kantor Bupati Gresik,4.3,116,Endang Susilowati,5,2025-07-16T10:46:49.221Z,
Kantor Bupati Gresik,4.3,116,asri anggun,5,2022-07-19T10:26:40.847Z,"Suasana asri dan hijau. Halaman luas. Disediakan juga akses untuk pengguna kursi roda. Di dalam komplek kantor bupati ada beberapa dinas lain seperti dinas kesehatan, dinas pertanian, dinas koperasi, bahkan ada MPP (mal pelayanan publik) dan bank jatim"
Kantor Bupati Gresik,4.3,116,Diyya Vlog,1,2022-07-07T06:01:47.508Z,Tolong kalau memang bayar parkir ditulisin aja bayar. Jangan ditulis gratis pakai cek STNK. Tulisan dan kenyataan tidak sesuai. Mending dilepas aja tulisan gratisnya. Bukan masalah nominalnya. Masalahnya ngeluarin sepeda gak dibantu. Tukang parkir cuma duduk doang. Ada tulisan cek STNK juga nggak dicek. Mohon pemkab untuk evaluasi
Kantor Bupati Gresik,4.3,116,gilang budiraharja,5,2022-07-06T09:54:25.314Z,Tempatnya Bupati dan seluruh jajaran OPD bekerja..
Kantor Bupati Gresik,4.3,116,Ikhsan Rosyid,5,2022-06-21T00:36:35.827Z,
Kantor Bupati Gresik,4.3,116,Herawan Eka Kusuma,5,2022-06-06T01:21:47.356Z,
Kantor Bupati Gresik,4.3,116,Sulhan Edan,5,2022-04-23T00:52:17.231Z,"Saya minta tolong buat walikota Gersik, sby ,sdoarjo, bagi warga jw timur rakyat kecil & pengusaha sembako sekarang di persulit pengecer pertalek padahal di pom masih ada se andainya di pom gak ada gak jadi masalah"
Kantor Bupati Gresik,4.3,116,NurulSaja,5,2022-04-06T09:23:33.046Z,Kantor bupati Gresik dan beberapa dinas
Kantor Bupati Gresik,4.3,116,Akhmad Mustofah,1,2022-04-05T12:07:10.164Z,"Pelayanan BKD (di lantai 3 kalau tidak salah) tidak maksimal. SK pensiunan milik ayah lama sekali prosesx berbulan-bulan. Pdahal daerah lain tidak selama itu. Dari temen yg ikut P3K, infonya penerbitan SK lama sekali pdhal daerah lain di jatim sudah bekerja malah. Wallahua'lam, semoga ada perbaikan"
Kantor Bupati Gresik,4.3,116,MOHAMMAD THOYYIBAH,5,2022-03-28T04:16:56.633Z,"Tempatnya bagus dan luas, pelayanannya kooperatif"
Kantor Bupati Gresik,4.3,116,totok pole,5,2022-02-10T07:18:41.965Z,
Kantor Bupati Gresik,4.3,116,Kenz 92,5,2021-11-29T02:13:39.020Z,
Kantor Bupati Gresik,4.3,116,Joker 77,5,2021-10-30T12:40:32.018Z,"Tolong diperbaiki sistem lalulintas di daerah manyar,,, sering macet parah🙏"
Kantor Bupati Gresik,4.3,116,yuliana imut (Satiyo),5,2021-09-25T10:50:21.200Z,Tempatnya asri dan nyaman
Kantor Bupati Gresik,4.3,116,BFA ddy,4,2021-06-03T06:47:24.514Z,Kantor bupati dan kantor beberapa dinas-dinas. Cukup rindang dan pelayanan dinasnya sangat memuaskan. Masjidnya berjarak dan tentu dingin. Ada tempat fotokopinya
Kantor Bupati Gresik,4.3,116,Dimaz Kurnia,5,2021-04-28T05:14:12.682Z,Pelayananya ramah sejuk dan nyaman
Kantor Bupati Gresik,4.3,116,Kamal Ladija Girsang,3,2021-04-22T15:39:55.986Z,
Kantor Bupati Gresik,4.3,116,aufa 014,1,2021-04-12T06:21:39.384Z,"Buat yg mau nyetak Kk ktp, di Mall peyanan publik lebih baiknya minta nomer petugas juga, sy kmaren bolak balik ternyata belum di verifikasi, kotak saran juga gk ada, janji hari jumat, katanya belum terverifikasi, trus ganti hari senin, belum terverifikasi, rabu juga gitu, mblueeettt ae"
Kantor Bupati Gresik,4.3,116,Christian T,5,2021-03-29T05:20:57.172Z,
Kantor Bupati Gresik,4.3,116,Driatmiko Herlambang,5,2021-03-25T02:20:27.687Z,
Kantor Bupati Gresik,4.3,116,Aminnatul Widyana,5,2021-02-09T15:35:41.306Z,
Kantor Bupati Gresik,4.3,116,Nurul Laili,5,2021-01-14T02:43:21.202Z,"Mau tanya bapak ibu,,,tempat DINAS KOPERASI GRESIK itu selingkungan Sama KANTOR BUPATI gresik kah"
Kantor Bupati Gresik,4.3,116,Raden Ajeng Mshira Hasnah Hasnah,1,2020-11-30T03:42:21.776Z,Didalamnya terdapat bank jatim..yg pelayanannya super super lambat...alias lemot polll....
Kantor Bupati Gresik,4.3,116,Muhammad Nasikh,4,2020-11-27T22:42:38.779Z,Megah
Kantor Bupati Gresik,4.3,116,Kresna duta,5,2020-11-09T11:01:45.252Z,Besar sekali kantor bupatinya 👍👍
Kantor Bupati Gresik,4.3,116,Aisyah Khulaidah Firosa,5,2020-11-04T00:30:48.231Z,Good
Kantor Bupati Gresik,4.3,116,reni dwi astuti,4,2020-10-28T14:54:09.407Z,Sering kesini karena urusan kedinasan.
Kantor Bupati Gresik,4.3,116,AGHA,5,2020-10-03T14:20:43.533Z,One of the nicest place to jog. Especially in the afternoon....
Kantor Bupati Gresik,4.3,116,Gee_ Hart0,5,2020-06-19T01:49:44.405Z,Taman luas. Parkir luas. Lapangan luas. Ada masjid. Pohon rindang.. Tmpat yg asri.. 👍
Kantor Bupati Gresik,4.3,116,Ahmad'S LingTech,5,2020-03-12T13:33:43.021Z,"Kantor Bupati Gresik ini dilengkapi dengan halaman yang luas sehingga bisa digunakan untuk kegiatan luar ruang untuk banyak orang seperti upacara. Dalam lingkungan ini juga terdapat kantor-kantor pemerintahan tingkat kabupaten lainnya, seperti Dinas Kesehatan, dan juga kantor lainnya."
Kantor Bupati Gresik,4.3,116,Mustafizin Achmad,5,2020-02-21T09:28:30.466Z,
Kantor Bupati Gresik,4.3,116,Channel Inspirasi Bersama,5,2020-01-03T05:33:34.290Z,pusat pemerintahan kabupaten gresik gedungnya besar dan megah didepan gedung ada halaman yang cukup luas biasanya digunakan untuk apel dan upacara parkir kendaraan ada di sisi kanan dan kiri gedung
